feedback_text,department
"The emergency department was extremely dirty and the staff was very rude. I waited for 4 hours and nobody attended to me. This is terrible service!",Emergency
"Excellent care from the nursing staff! They were very professional and caring. The facilities were clean and well-maintained. Great experience overall!",OPD
"The doctors were knowledgeable and helpful, but the waiting time was too long. The pharmacy service needs improvement.",Pharmacy
"Dirty toilets and long queues. The staff seemed overwhelmed and frustrated. Urgent need to hire more people.",General
"Very satisfied with the treatment. The staff went above and beyond to help. Clean rooms and quick service. Would recommend!",Diagnostics
"Rude receptionist. Poor facility management. Equipment in bad condition. Overall disappointing experience.",Nursing
"The waiting time was awful. Waited 3 hours for a simple appointment. Staff could be more friendly and efficient.",Emergency
"Fantastic experience! Professional doctors, caring nurses, clean environment. Everything was perfect!",OPD
"The facility is outdated and uncomfortable. Staff seemed disinterested in patient care. Not happy with the service.",Facilities
"Had to wait too long but the doctor was excellent. Facilities could use an upgrade.",OPD
