id,text,patientName,patientId,department,staffId,staffName,sentiment,polarityScore,sentimentScore,emotion,category,severityScore,keywords,doctorRating,createdAt,updatedAt
FB_1765025850071_ho5qe8mpp,Very efficient,saw the doctor right away.,Patient 1,PAT_Emergency_0,Emergency,DOC010,Dr Karan Mehta,Positive,0.7,0.7,positive,Wait Time,3,wait time,2,2025-12-06T12:57:30.071Z
FB_1765025850075_y11d3lp2o,Standard waiting period as expected.,Patient 2,PAT_Emergency_1,Emergency,DOC003,Dr Meera Iyer,Neutral,0.03,0.03,neutral,Wait Time,5,wait time,1,2025-12-06T12:57:30.075Z,2025-12-06T12:57:30.075Z
FB_1765025850078_gtg5w3970,Quick check-in process,hardly any wait at all.,Patient 3,PAT_Emergency_2,Emergency,DOC003,Dr Meera Iyer,Positive,0.92,0.92,positive,Wait Time,2,wait time,2,2025-12-06T12:57:30.078Z
FB_1765025850081_8ydel982c,The waiting time was very short. Excellent service!,Patient 4,PAT_Emergency_3,Emergency,DOC004,Dr Vikram Das,Positive,0.85,0.85,positive,Wait Time,1,wait time,5,2025-12-06T12:57:30.081Z,2025-12-06T12:57:30.081Z
FB_1765025850084_vezsq0vim,The waiting time was very short. Excellent service!,Patient 5,PAT_Emergency_4,Emergency,DOC003,Dr Meera Iyer,Positive,0.8,0.8,positive,Wait Time,2,wait time,2,2025-12-06T12:57:30.084Z,2025-12-06T12:57:30.084Z
FB_1765025850086_kv28qomjf,Staff were professional and caring throughout.,Patient 1,PAT_Emergency_0,Emergency,DOC005,Dr Priya Sharma,Positive,0.56,0.56,positive,Staff Behavior,1,staff behavior,1,2025-12-06T12:57:30.086Z,2025-12-06T12:57:30.086Z
FB_1765025850087_v250xp1f3,Staff were professional and caring throughout.,Patient 2,PAT_Emergency_1,Emergency,DOC008,Dr Sameer Patel,Positive,0.68,0.68,positive,Staff Behavior,2,staff behavior,3,2025-12-06T12:57:30.087Z,2025-12-06T12:57:30.087Z
FB_1765025850090_1y4hjxmg0,Polite but somewhat distant.,Patient 3,PAT_Emergency_2,Emergency,DOC008,Dr Sameer Patel,Neutral,-0.01,-0.01,neutral,Staff Behavior,6,staff behavior,1,2025-12-06T12:57:30.090Z,2025-12-06T12:57:30.090Z
FB_1765025850092_fpn14nr3i,The staff was incredibly friendly and attentive.,Patient 4,PAT_Emergency_3,Emergency,DOC007,Dr Kavita Singh,Positive,0.92,0.92,positive,Staff Behavior,1,staff behavior,3,2025-12-06T12:57:30.092Z,2025-12-06T12:57:30.092Z
FB_1765025850094_bhurytw86,The facility was adequately clean.,Patient 1,PAT_Emergency_0,Emergency,DOC010,Dr Karan Mehta,Neutral,-0.09,-0.09,neutral,Cleanliness,5,cleanliness,2,2025-12-06T12:57:30.094Z,2025-12-06T12:57:30.094Z
FB_1765025850095_yo0cylodq,The environment was very clean and pleasant.,Patient 2,PAT_Emergency_1,Emergency,DOC008,Dr Sameer Patel,Positive,0.62,0.62,positive,Cleanliness,2,cleanliness,4,2025-12-06T12:57:30.095Z,2025-12-06T12:57:30.095Z
FB_1765025850097_ociwj59fr,Facility was dirty and unhygienic.,Patient 3,PAT_Emergency_2,Emergency,DOC007,Dr Kavita Singh,Negative,-0.82,-0.82,negative,Cleanliness,8,cleanliness,4,2025-12-06T12:57:30.097Z,2025-12-06T12:57:30.097Z
FB_1765025850099_zplamwgnm,The environment was very clean and pleasant.,Patient 4,PAT_Emergency_3,Emergency,DOC002,Dr Rohan Kumar,Positive,0.74,0.74,positive,Cleanliness,3,cleanliness,2,2025-12-06T12:57:30.099Z,2025-12-06T12:57:30.099Z
FB_1765025850101_k48np73p5,Food options were excellent and well-prepared.,Patient 1,PAT_Emergency_0,Emergency,DOC002,Dr Rohan Kumar,Positive,0.98,0.98,positive,Food Quality,1,food quality,1,2025-12-06T12:57:30.101Z,2025-12-06T12:57:30.101Z
FB_1765025850102_duvvbbl9a,Food was okay,nothing exceptional.,Patient 2,PAT_Emergency_1,Emergency,DOC004,Dr Vikram Das,Neutral,0.01,0.01,neutral,Food Quality,4,food quality,1,2025-12-06T12:57:30.102Z
